t,x,y,yaw,roll,pitch,state,target_id
1789540261.7140326,11.710528635069487,0.8031335391106157,1.1428538760450828,-7.412162896833969e-11,9.008082460268596e-10,NAVIGATING,door_blue_df7a1e
1789540262.0639257,11.706844295986567,0.8031335578323442,1.0918679846524555,-6.296417764809087e-11,8.98923860366492e-10,NAVIGATING,door_blue_df7a1e
1789540262.4139168,11.704052376551202,0.8031335756327843,1.0461225210917957,-4.947275630795893e-11,9.058211893815861e-10,NAVIGATING,door_blue_df7a1e
1789540262.7645922,11.701626874067607,0.8031335958804193,0.9965386519318034,-3.776556933794974e-11,9.141744325408693e-10,NAVIGATING,door_blue_df7a1e
1789540263.1153889,11.700236846141975,0.8031336118539072,0.9588898162965411,-3.036300126408729e-11,9.19985382639903e-10,NAVIGATING,door_blue_df7a1e
1789540263.4653473,11.699320779461585,0.8031336270574161,0.9239311107130395,-2.497777280878508e-11,9.247893892028345e-10,NAVIGATING,door_blue_df7a1e
1789540263.8173885,11.698810606181748,0.8031336415341297,0.8912208771118407,-2.0979569103046818e-11,9.288396946228065e-10,NAVIGATING,door_blue_df7a1e
1789540264.163695,11.698654465992888,0.8031337242009666,0.8604607627405156,-1.6849665263047163e-11,9.322000771886686e-10,NAVIGATING,door_blue_df7a1e
1789540264.5139358,11.698654424807202,0.8034005895929656,0.8243045655548226,1.4652948868281684e-11,9.251683724986167e-10,NAVIGATING,door_blue_df7a1e
1789540264.8638585,11.698693205217177,0.8037255825495521,0.7862379369321039,-2.305051813289139e-11,6.122506009176568e-10,NAVIGATING,door_blue_df7a1e
1789540265.2139292,11.708491542580957,0.8133312868899235,0.7532850950390376,-1.508721107965431e-11,-1.6860012004053292e-09,NAVIGATING,door_blue_df7a1e
1789540265.5636895,11.727604250030547,0.8310306099435586,0.7277223894345097,-7.23283684966446e-11,-2.850175150422969e-09,NAVIGATING,door_blue_df7a1e
1789540265.9140062,11.766223053441522,0.8643021533878693,0.691310196317823,-1.0499017893418072e-10,1.0963176999334205e-10,NAVIGATING,door_blue_df7a1e
